Player,height,weight,collage,born,birth_city,birth_state
Bob Rule,206.0,99.0,Colorado State University,1944.0,Riverside,California
Craig Spitzer,213.0,102.0,Tulane University,1945.0,,
Al Tucker,203.0,86.0,Oklahoma Baptist University,1943.0,Dayton,Ohio
Bill Turner,201.0,99.0,University of Akron,1944.0,,
Jimmy Walker,190.0,88.0,Providence College,1944.0,Amherst,Virginia
Rick Weitzman,188.0,79.0,Northeastern University,1946.0,,
Roland West,193.0,80.0,University of Cincinnati,1944.0,,
John Wetzel,196.0,86.0,Virginia Polytechnic Institute and State University,1944.0,Waynesboro,Virginia
Ken Wilburn,198.0,88.0,Central State University,1944.0,River Rouge,Michigan
Art Williams,185.0,81.0,"California State Polytechnic University, Pomona",1939.0,Bonham,Texas
Tom Workman,201.0,98.0,Seattle University,1944.0,Seattle,Washington
Zaid Abdul-Aziz,206.0,106.0,Iowa State University,1946.0,Brooklyn,New York
Rick Adelman,185.0,79.0,Loyola Marymount University,1946.0,Lynwood,California
Bob Allen,206.0,92.0,Marshall University,1946.0,,
Harry Barnes,190.0,92.0,Northeastern University,1945.0,,
Ed Biedenbach,185.0,79.0,North Carolina State University,1945.0,,
Tom Boerwinkle,213.0,120.0,University of Tennessee,1945.0,Cleveland,Ohio
Jay Carty,203.0,99.0,Oregon State University,1941.0,,
Don Chaney,196.0,95.0,University of Houston,1946.0,Baton Rouge,Louisiana
Dick Cunningham,208.0,111.0,Murray State University,1946.0,Canton,Ohio
Fred Foster,196.0,95.0,Miami University,1946.0,Springfield,Ohio
Pat Frink,193.0,88.0,University of Colorado,1945.0,,
Gary Gregor,201.0,102.0,University of South Carolina,1945.0,Charlestown,West Virginia
Al Hairston,185.0,77.0,Bowling Green State University,1945.0,,
Shaler Halimon,196.0,90.0,Utah State University,1945.0,Tampa,Florida
Skip Harlicka,185.0,83.0,University of South Carolina,1946.0,,
Art Harris,193.0,83.0,Stanford University,1947.0,,
Elvin Hayes*,206.0,106.0,University of Houston,1945.0,Rayville,Louisiana
Bill Hewitt,201.0,95.0,University of Southern California,1944.0,Cambridge,Massachusetts
Bill Hosket,203.0,102.0,Ohio State University,1946.0,Dayton,Ohio
Rich Johnson,201.0,95.0,Grambling State University,1946.0,,
Bob Kauffman,203.0,108.0,Guilford College,1946.0,Brooklyn,New York
Joe Kennedy,198.0,95.0,Duke University,1947.0,,
Rod Knowles,206.0,97.0,Davidson College,1946.0,,
Stu Lantz,190.0,79.0,University of Nebraska,1946.0,Uniontown,Pennsylvania
Don May,193.0,90.0,University of Dayton,1946.0,Dayton,Ohio
Otto Moore,211.0,92.0,University of Texas-Pan American,1946.0,Miami,Florida
Dave Newmark,213.0,108.0,Columbia University,1946.0,Brooklyn,New York
Rich Niemann,213.0,111.0,Saint Louis University,1946.0,St. Louis,Missouri
Barry Orms,190.0,86.0,Saint Louis University,1946.0,St. Louis,Missouri
Charlie Paulk,203.0,99.0,Northeastern State University,1946.0,Fitzgerald,Georgia
Loy Petersen,196.0,92.0,Oregon State University,1945.0,,
Bob Quick,196.0,97.0,Xavier University,1946.0,Thornton,Mississippi
Craig Raymond,211.0,106.0,Brigham Young University,1945.0,Aberdeen,Washington
Mike Riordan,193.0,90.0,Providence College,1945.0,New York,New York
Dale Schlueter,208.0,102.0,Colorado State University,1945.0,Tacoma,Washington
Doug Sims,201.0,88.0,Kent State University,1943.0,Elba,Alabama
Greg Smith,196.0,88.0,Western Kentucky University,1947.0,Princeton,Kentucky
John Trapp,201.0,95.0,"University of Nevada, Las Vegas",1945.0,Detroit,Michigan
Wes Unseld*,201.0,111.0,University of Louisville,1946.0,Louisville,Kentucky
Dwight Waller,198.0,99.0,Tennessee State University,1945.0,Brownsville,Tennessee
Cliff Williams,190.0,81.0,Bowling Green State University,1945.0,,
Ron Williams,190.0,85.0,West Virginia University,1944.0,Weirton,West Virginia
Sam Williams,190.0,81.0,University of Iowa,1945.0,,
Kareem Abdul-Jabbar*,218.0,102.0,"University of California, Los Angeles",1947.0,New York,New York
Lucius Allen,188.0,79.0,"University of California, Los Angeles",1947.0,Kansas City,Kansas
Wally Anderzunas,201.0,99.0,Creighton University,1946.0,,
John Arthurs,193.0,83.0,Tulane University,1947.0,,
Johnny Baum,196.0,90.0,Temple University,1946.0,Philadelphia,Pennsylvania
Butch Beard,190.0,83.0,University of Louisville,1947.0,Hardinsburg,Kentucky
Fred Carter,190.0,83.0,Mount St. Mary's University,1945.0,Philadelphia,Pennsylvania
Bob Dandridge,198.0,88.0,Norfolk State University,1947.0,Richmond,Virginia
Mike Davis,190.0,83.0,Virginia Union University,1946.0,Brooklyn,New York
Dick Garrett,190.0,83.0,Southern Illinois University,1947.0,,
Herm Gilliam,190.0,86.0,Purdue University,1946.0,Winston-Salem,North Carolina
Bob Greacen,201.0,93.0,Rutgers University,1947.0,,
Lamar Green,201.0,95.0,Morehead State University,1947.0,Birmingham,Alabama
Connie Hawkins*,203.0,95.0,University of Iowa,1942.0,Brooklyn,New York
Brian Heaney,188.0,81.0,Acadia University,1946.0,,
Steve Kuberski,203.0,97.0,Bradley University,1947.0,Moline,Illinois
Mike Lynn,201.0,97.0,"University of California, Los Angeles",1945.0,Covina,California
Willie McCarter,190.0,79.0,Drake University,1946.0,Gary,Indiana
Steve Mix,201.0,97.0,University of Toledo,1947.0,Toledo,Ohio
Grady O'Malley,196.0,92.0,Manhattan College,1948.0,Boston,Massachusetts
Bud Ogden,198.0,97.0,Santa Clara University,1946.0,San Luis Obispo,California
Bob Portman,196.0,90.0,Creighton University,1947.0,San Francisco,California
Luther Rackley,208.0,99.0,Xavier University,1946.0,Bainbridge,Georgia
George Reynolds,193.0,88.0,University of Houston,1947.0,,
Rick Roberson,206.0,104.0,University of Cincinnati,1947.0,Memphis,Tennessee
Dave Scholz,203.0,99.0,University of Illinois at Urbana-Champaign,1948.0,,
Bingo Smith,196.0,86.0,Saint Peter's College,1939.0,,
Norm Van,196.0,86.0,,1939.0,,
Neal Walk,208.0,99.0,University of Florida,1948.0,Cleveland,Ohio
John Warren,190.0,81.0,St. John's University,1947.0,Sparta,Georgia
Jo Jo,190.0,81.0,,1947.0,,
Bernie Williams,190.0,79.0,La Salle University,1945.0,Washington,District of Columbia
Lee Winfield,188.0,78.0,University of North Texas,1947.0,St. Louis,Missouri
Don Adams,198.0,95.0,Northwestern University,1947.0,Atlanta,Georgia
Tiny Archibald*,185.0,68.0,University of Texas at El Paso,1948.0,New York,New York
Bob Arnzen,196.0,92.0,University of Notre Dame,1947.0,Covington,Kentucky
Dennis Awtrey,208.0,106.0,Santa Clara University,1948.0,Hollywood,California
Moe Barr,193.0,88.0,Duquesne University,1944.0,,
Tom Black,208.0,99.0,South Dakota State University,1941.0,,
Bob Christian,208.0,115.0,Grambling State University,1946.0,,
Jimmy Collins,188.0,79.0,New Mexico State University,1946.0,,
Joe Cooke,190.0,79.0,Indiana University,1948.0,,
Dave Cowens*,206.0,104.0,Florida State University,1948.0,Newport,Kentucky
Pete Cross,206.0,104.0,University of San Francisco,1948.0,,
Terry Driscoll,201.0,97.0,Boston College,1947.0,Winthrop,Massachusetts
Claude English,193.0,83.0,University of Rhode Island,1946.0,Columbus,Georgia
Greg Fillmore,216.0,108.0,Cheyney University of Pennsylvania,1947.0,Philadelphia,Pennsylvania
Levi Fontaine,193.0,86.0,University of Maryland Eastern Shore,1948.0,,
Jake Ford,190.0,81.0,University of Maryland Eastern Shore,1946.0,,
Gary Freeman,206.0,95.0,Oregon State University,1948.0,,
Walt Gilmore,198.0,102.0,Fort Valley State University,1947.0,,
Spencer Haywood*,203.0,102.0,University of Detroit Mercy,1949.0,Silver City,Mississippi
Gar Heard,198.0,99.0,University of Oklahoma,1948.0,Hogansville,Georgia
Al Henry,206.0,86.0,University of Wisconsin,1949.0,,
A.W. Holt,206.0,86.0,,1949.0,,
Greg Howard,206.0,97.0,University of New Mexico,1948.0,Pittsburgh,Pennsylvania
John Hummer,206.0,104.0,Princeton University,1948.0,Washington,District of Columbia
Greg Hyder,198.0,97.0,Eastern New Mexico University,1948.0,,
George Johnson,211.0,111.0,Stephen F. Austin State University,1947.0,Herleton,Texas
John Johnson,201.0,90.0,University of Iowa,1947.0,Carthage,Mississippi
Earnie Killum,190.0,81.0,Stetson University,1948.0,,
Ron Knight,201.0,97.0,"California State University, Los Angeles",1947.0,,
Sam Lacey,208.0,106.0,New Mexico State University,1948.0,Indianaola,Mississippi
Bob Lanier*,211.0,113.0,St. Bonaventure University,1948.0,Buffalo,New York
Pete Maravich*,196.0,89.0,Louisiana State University,1947.0,Aliquippa,Pennsylvania
Harvey Marlatt,190.0,83.0,Eastern Michigan University,1948.0,,
Eddie Mast,206.0,99.0,Temple University,1948.0,Philadelphia,Pennsylvania
Jim McMillian,196.0,97.0,Columbia University,1948.0,Raeford,North Carolina
Larry Mikan,201.0,95.0,University of Minnesota,1948.0,,
Rex Morgan,196.0,86.0,Jacksonville University,1948.0,Charleston,Illinois
Calvin Murphy*,175.0,74.0,Niagara University,1948.0,Norwalk,Connecticut
Ralph Ogden,196.0,92.0,Santa Clara University,1948.0,,
Curtis Perry,201.0,99.0,Missouri State University,1948.0,Washington,District of Columbia
Geoff Petrie,193.0,86.0,Princeton University,1948.0,Darby,Pennsylvania
Mike Price,190.0,90.0,University of Illinois at Urbana-Champaign,1948.0,Russellville,Kentucky
Bob Riley,206.0,106.0,Mount St. Mary's University,1948.0,,
Paul Ruffner,208.0,102.0,Brigham Young University,1948.0,Downey,California
Mike Silliman,198.0,102.0,United States Military Academy,1944.0,Louisville,Kentucky
Garfield Smith,206.0,106.0,Eastern Kentucky University,1945.0,Campbellsville,Kentucky
Dave Sorenson,203.0,102.0,Ohio State University,1948.0,,
Dennis Stewart,198.0,99.0,University of Michigan,1947.0,,
Bill Stricker,206.0,95.0,University of the Pacific,1948.0,,
Gary Suiter,206.0,102.0,Midwestern State University,1945.0,,
Fred Taylor,196.0,81.0,University of Texas-Pan American,1948.0,Houston,Texas
Joe Thomas,198.0,92.0,Marquette University,1948.0,Canton,Georgia
Rudy Tomjanovich,203.0,98.0,University of Michigan,1948.0,Hamtramck,Michigan
John Vallely,190.0,83.0,"University of California, Los Angeles",1948.0,,
Cornell Warner,206.0,99.0,Jackson State University,1948.0,Jackson,Mississippi
Bobby Washington,180.0,79.0,Eastern Kentucky University,1947.0,,
Jeff Webb,193.0,77.0,Kansas State University,1948.0,,
Herb White,188.0,88.0,University of Georgia,1948.0,,
Milt Williams,188.0,82.0,Lincoln University of Missouri,1945.0,Seattle,Washington
Willie Williams,201.0,90.0,Florida State University,1946.0,,
Marv Winkler,185.0,74.0,University of Louisiana at Lafayette,1948.0,,
Gary Zeller,190.0,92.0,Drake University,1947.0,,
Bill Zopf,185.0,77.0,Duquesne University,1948.0,,
Odis Allison,198.0,88.0,"University of Nevada, Las Vegas",1949.0,,
Vic Bartolome,213.0,104.0,Oregon State University,1948.0,,
Fred Brown,190.0,82.0,University of Iowa,1948.0,Milwaukee,Wisconsin
Austin Carr,193.0,90.0,University of Notre Dame,1948.0,Washington,District of Columbia
Sid Catlett,198.0,104.0,University of Notre Dame,1948.0,,
Phil Chenier,190.0,81.0,University of California,1950.0,Berkeley,California
Jim Cleamons,190.0,83.0,Ohio State University,1949.0,Lincolnton,North Carolina
Charlie Davis,188.0,72.0,Wake Forest University,1949.0,New York,New York
Jackie Dinkins,196.0,95.0,Voorhees College,1950.0,,
Ken Durrett,201.0,86.0,La Salle University,1948.0,Pittsburgh,Pennsylvania
Dick Gibbs,196.0,95.0,University of Texas at El Paso,1948.0,Ames,Iowa
Clarence Glover,203.0,95.0,Western Kentucky University,1947.0,Horse Cave,Kentucky
Jeff Halliburton,196.0,87.0,Drake University,1949.0,,
Fred Hilton,190.0,83.0,Grambling State University,1948.0,,
Jake Jones,190.0,81.0,Assumption College,1949.0,,
Mo Layton,185.0,81.0,University of Southern California,1948.0,Newark,New Jersey
Stan Love,206.0,97.0,University of Oregon,1949.0,Los Angeles,California
Charlie Lowery,190.0,83.0,University of Puget Sound,1949.0,,
Jim Marsh,201.0,97.0,University of Southern California,1946.0,,
Jim McDaniels,211.0,103.0,Western Kentucky University,1948.0,Scottsville,Kentucky
Gil McGregor,203.0,108.0,Wake Forest University,1949.0,,
Kenny McIntosh,201.0,102.0,Eastern Michigan University,1949.0,Detroit,Michigan
Cliff Meely,203.0,97.0,University of Colorado,1947.0,Rosedale,Mississippi
Dean Meminger,183.0,79.0,Marquette University,1948.0,Walterboro,South Carolina
John Mengelt,188.0,88.0,Auburn University,1949.0,Lacrosse,Wisconsin
Barry Nelson,208.0,104.0,Duquesne University,1949.0,,
Mike Newlin,193.0,90.0,University of Utah,1949.0,Portland,Oregon
Willie Norwood,201.0,99.0,Alcorn State University,1947.0,Carrolton,Mississippi
Steve Patterson,206.0,102.0,"University of California, Los Angeles",1948.0,Riverside,California
Tom Payne,218.0,108.0,University of Kentucky,1950.0,,
Howard Porter,203.0,99.0,Villanova University,1948.0,Stuart,Florida
Clifford Ray,206.0,104.0,University of Oklahoma,1949.0,Union,South Carolina
Jackie Ridgle,193.0,88.0,University of California,1948.0,Altheimer,Arkansas
Rich Rinaldi,190.0,88.0,Saint Peter's College,1949.0,,
Curtis Rowe,201.0,102.0,"University of California, Los Angeles",1949.0,Bessemer,Alabama
Charlie Scott,196.0,79.0,University of North Carolina,1948.0,New York,New York
Elmore Smith,213.0,113.0,Kentucky State University,1949.0,Macon,Georgia
Randy Smith,190.0,81.0,State University of New York College at Buffalo,1948.0,Bellport,New York
William Smith,213.0,99.0,Syracuse University,1949.0,,
Larry Steele,196.0,81.0,University of Kentucky,1949.0,Greencastle,Indiana
George Trapp,203.0,92.0,"California State University, Long Beach",1948.0,Detroit,Michigan
Sidney Wicks,203.0,102.0,"University of California, Los Angeles",1949.0,Los Angeles,California
Nate Williams,196.0,97.0,Utah State University,1950.0,Columbia,Louisiana
Isaiah Wilson,188.0,79.0,University of Baltimore,1948.0,Philadelphia,Pennsylvania
Dave Wohl,188.0,83.0,University of Pennsylvania,1949.0,Flushing,New York
Barry Yates,201.0,97.0,University of Maryland,1946.0,,
Charlie Yelverton,188.0,86.0,Fordham University,1948.0,,
Henry Bibby,185.0,83.0,"University of California, Los Angeles",1949.0,Franklinton,North Carolina
Freddie Boyd,188.0,81.0,Oregon State University,1950.0,Bakersfield,California
Steve Bracey,185.0,79.0,University of Tulsa,1950.0,Brooklyn,New York
John Brisker,196.0,95.0,University of Toledo,1947.0,Detroit,Michigan
Roger Brown,196.0,92.0,University of Dayton,1942.0,Brooklyn,New York
Corky Calhoun,201.0,95.0,University of Pennsylvania,1950.0,Waukegan,Illinois
Bob Davis,201.0,97.0,Weber State University,1950.0,,
Dwight Davis,203.0,99.0,University of Houston,1949.0,Houston,Texas
Mickey Davis,190.0,83.0,Virginia Union University,1946.0,Brooklyn,New York
Charles Dudley,188.0,81.0,University of Washington,1950.0,Harrisburg,Pennsylvania
Scott English,198.0,92.0,University of Texas at El Paso,1950.0,Evanston,Illinois
Chris Ford,196.0,86.0,Villanova University,1949.0,Atlantic City,New Jersey
Harold Fox,188.0,79.0,Jacksonville University,1949.0,,
Rowland Garrett,198.0,95.0,Florida State University,1950.0,Canton,Mississippi
John Gianelli,208.0,99.0,University of the Pacific,1950.0,Stockton,California
Travis Grant,201.0,97.0,Kentucky State University,1950.0,Clayton,Alabama
Luther Green,201.0,86.0,Long Island University,1946.0,New York,New York
Charles Johnson,183.0,77.0,University of California,1949.0,Corpus Christi,Texas
Ollie Johnson,198.0,90.0,Temple University,1949.0,Philadelphia,Pennsylvania
Manny Leaks,203.0,102.0,Niagara University,1945.0,Cleveland,Ohio
Russ Lee,196.0,83.0,Marshall University,1950.0,Boston,Massachusetts
LaRue Martin,211.0,94.0,Loyola University of Chicago,1950.0,Chicago,Illinois
Bob McAdoo*,206.0,95.0,University of North Carolina,1951.0,Greensboro,North Carolina
Paul McCracken,193.0,81.0,"California State University, Northridge",1950.0,New York,New York
Eric McWilliams,203.0,90.0,"California State University, Long Beach",1950.0,Denver,Colorado
Mark Minor,198.0,97.0,Ohio State University,1950.0,,
Bob Nash,203.0,88.0,University of Hawaii,1950.0,Hartford,Connecticut
Lloyd Neal,201.0,102.0,Tennessee State University,1950.0,Talbottom,Georgia
Tom Patterson,198.0,99.0,Ouachita Baptist University,1948.0,,
Kevin Porter,183.0,77.0,Saint Francis University,1950.0,Chicago,Illinois
Jim Price,190.0,88.0,University of Louisville,1949.0,Russellville,Kentucky
Mike Ratliff,208.0,104.0,University of Wisconsin-Eau Claire,1951.0,New Albany,Mississippi
Tom Riker,208.0,102.0,University of South Carolina,1950.0,Rockville Centre,New York
Ron Riley,203.0,88.0,University of Southern California,1950.0,Los Angeles,California
Frank Russell,190.0,81.0,University of Detroit Mercy,1949.0,,
Frank Schade,185.0,77.0,University of Wisconsin-Eau Claire,1950.0,Wausau,Wisconsin
Sam Sibert,201.0,97.0,Kentucky State University,1949.0,,
Bud Stallworth,196.0,86.0,University of Kansas,1950.0,Hartselle,Alabama
Paul Stovall,193.0,97.0,Arizona State University,1948.0,,
Chuck Terry,198.0,97.0,"California State University, Long Beach",1950.0,Long Beach,California
Justus Thigpen,185.0,72.0,Weber State University,1947.0,,
John Tschogl,198.0,93.0,"University of California, Santa Barbara",1950.0,Chula Vista,California
Paul Westphal,193.0,88.0,University of Southern California,1950.0,Torrance,California
Harthorne Wingo,198.0,95.0,Friendship Junior College,1947.0,Tryon,North Carolina
Joby Wright,203.0,99.0,Indiana University,1950.0,,
Mike Bantom,206.0,90.0,Saint Joseph's University,1951.0,Philadelphia,Pennsylvania
Ron Behagen,206.0,83.0,University of Minnesota,1951.0,New York,New York
Dennis Bell,196.0,83.0,Drake University,1951.0,Cincinnati,Ohio
Jim Brewer,206.0,95.0,University of Minnesota,1951.0,Maywood,Illinois
Allan Bristow,201.0,95.0,Virginia Polytechnic Institute and State University,1951.0,Richmond,Virginia
John Brown,201.0,99.0,University of Missouri,1951.0,Frankfurt,Germany
Larry Cannon,193.0,88.0,La Salle University,1947.0,Philadelphia,Pennsylvania
Bill Chamberlain,198.0,85.0,University of North Carolina,1949.0,,
Ken Charles,190.0,81.0,Fordham University,1951.0,Trinidad and Tobago,
E.C. Coleman,190.0,81.0,,1951.0,,
Doug Collins,198.0,81.0,Illinois State University,1951.0,Christopher,Illinois
Mike D'Antoni,190.0,83.0,Marshall University,1951.0,Mullens,West Virginia
Mel Davis,198.0,99.0,St. John's University,1950.0,New York,New York
Derrek Dickey,201.0,98.0,University of Cincinnati,1951.0,Cincinnati,Ohio
Ernie DiGregorio,183.0,81.0,Providence College,1951.0,North Providence,Rhode Island
Steve Downing,203.0,102.0,Indiana University,1950.0,Indianapolis,Indiana
Rod Freeman,201.0,102.0,Vanderbilt University,1950.0,,
Bernie Fryer,190.0,83.0,Brigham Young University,1949.0,Bellingham,Washington
Jim Garvin,201.0,90.0,Boston University,1950.0,,
Phil Hankinson,203.0,88.0,University of Pennsylvania,1951.0,Augusta,Georgia
Nate Hawthorne,193.0,86.0,Southern Illinois University,1950.0,Mt. Vernon,Illinois
Tom Ingelsby,190.0,81.0,Villanova University,1951.0,Philadelphia,Pennsylvania
Dwight Jones,208.0,95.0,University of Houston,1952.0,Houston,Texas
Ben Kelso,190.0,88.0,Central Michigan University,1949.0,,
Tom Kozelko,203.0,99.0,University of Toledo,1951.0,Traverse City,Michigan
Kevin Kunnert,213.0,104.0,University of Iowa,1951.0,Dubuque,Iowa
Mike Macaluso,196.0,95.0,Canisius College,1951.0,,
Ted Manakas,188.0,81.0,Princeton University,1951.0,,
Vester Marshall,201.0,90.0,University of Oklahoma,1948.0,,
Allie McGuire,188.0,81.0,St. John's University,1928.0,New York,New York
Larry McNeill,206.0,88.0,Marquette University,1951.0,Hoke,North Carolina
Gary Melchionni,188.0,83.0,Duke University,1951.0,Camden,New Jersey
Louie Nelson,190.0,86.0,University of Washington,1951.0,Los Angeles,California
Jim Owens,196.0,90.0,Arizona State University,1950.0,Los Angeles,California
Ed Ratleff,198.0,88.0,"California State University, Long Beach",1950.0,Bellefontaine,Ohio
Joe Reaves,196.0,95.0,Bethel College,1950.0,,
Mark Sibley,188.0,79.0,Northwestern University,1950.0,,
Bob Verga,185.0,86.0,Duke University,1945.0,Neptune,New Jersey
Kermit Washington,203.0,104.0,American University,1951.0,Washington,District of Columbia
Slick Watts,185.0,79.0,Xavier University of Louisiana,1951.0,Rolling Ford,Mississippi
Nick Weatherspoon,201.0,88.0,University of Illinois at Urbana-Champaign,1950.0,Greenwood,Mississippi
Luke Witte,213.0,106.0,Ohio State University,1950.0,Philadelphia,Pennsylvania
Dan Anderson,208.0,104.0,Augsburg College,1943.0,Minneapolis,Minnesota
Jim Ard,203.0,97.0,University of Cincinnati,1948.0,Harvey,Illinois
Gus Bailey,196.0,83.0,University of Texas at El Paso,1951.0,Gibson,North Carolina
Leon Benbow,193.0,83.0,Jacksonville University,1950.0,Columbia,South Carolina
Ken Boyd,196.0,88.0,Boston University,1952.0,Frederick,Maryland
Gary Brokaw,193.0,80.0,University of Notre Dame,1954.0,New Brunswick,New Jersey
Tom Burleson,218.0,102.0,North Carolina State University,1952.0,Crossnore,North Carolina
Harvey Catchings,206.0,98.0,Hardin-Simmons University,1951.0,Jackson,Mississippi
Jim Chones,211.0,99.0,Marquette University,1949.0,Racine,Wisconsin
Ben Clyde,201.0,89.0,Florida State University,1951.0,Albany,Georgia
Jesse Dark,196.0,95.0,Virginia Commonwealth University,1951.0,Richmond,Virginia
Rod Derline,183.0,79.0,Seattle University,1952.0,Elma,Washington
John Drew,198.0,92.0,Gardner-Webb University,1954.0,Vredenburgh,Alabama
Dennis DuVal,190.0,79.0,Syracuse University,1952.0,Westbury,New York
Al Eberhard,198.0,102.0,University of Missouri,1952.0,Cedar Rapids,Iowa
Leonard Gray,203.0,108.0,"California State University, Long Beach",1951.0,Kansas City,Kansas
Bernie Harris,208.0,90.0,Virginia Commonwealth University,1950.0,Roanoke,Virginia
Steve Hawes,206.0,99.0,University of Washington,1950.0,Seattle,Washington
Tom Henderson,190.0,86.0,University of Hawaii,1952.0,Newberry,South Carolina
Greg Jackson,183.0,81.0,Guilford College,1952.0,Brooklyn,New York
Wardell Jackson,201.0,90.0,Ohio State University,1951.0,Yazoo City,Mississippi
Aaron James,203.0,95.0,Grambling State University,1952.0,New Orleans,Louisiana
Mickey Johnson,208.0,86.0,Aurora University,1952.0,Chicago,Illinois
Jimmy Jones,193.0,85.0,Grambling State University,1945.0,Tallulah,Louisiana
Frank Kendrick,198.0,89.0,Purdue University,1950.0,Indianapolis,Indiana
Len Kosmalski,213.0,111.0,University of Tennessee,1951.0,Cleveland,Ohio
Bill Ligon,193.0,81.0,Vanderbilt University,1952.0,Nashville,Tennessee
Phil Lumpkin,183.0,74.0,Miami University,1951.0,Dayton,Ohio
Glenn McDonald,198.0,86.0,"California State University, Long Beach",1952.0,Kewanee,Illinois
Eric Money,183.0,77.0,University of Arizona,1955.0,Detroit,Michigan
Connie Norman,190.0,79.0,University of Arizona,1953.0,Detroit,Michigan
Kevin Restani,206.0,102.0,University of San Francisco,1951.0,San Francisco,California
Truck Robinson,201.0,102.0,Tennessee State University,1951.0,Jacksonville,Florida
Campy Russell,196.0,98.0,University of Michigan,1944.0,Chicago,Illinois
Fred Saunders,201.0,95.0,Syracuse University,1951.0,Columbus,Ohio
Tal Skinner,196.0,88.0,University of Maryland Eastern Shore,1952.0,Berlin,Maryland
Don Smith,188.0,86.0,University of Minnesota,1920.0,Minnesota,
Phil Smith,193.0,83.0,University of San Francisco,1952.0,San Francisco,California
Mike Sojourner,206.0,102.0,University of Utah,1953.0,Philadelphia,Pennsylvania
Kevin Stacom,190.0,83.0,Providence College,1951.0,New York,New York
George Thompson,188.0,90.0,Marquette University,1947.0,Brooklyn,New York
Dean Tolson,203.0,86.0,University of Arkansas,1951.0,Kansas City,Missouri
Foots Walker,183.0,83.0,State University of West Georgia,1951.0,Southampton,New York
Bill Walton*,211.0,95.0,"University of California, Los Angeles",1952.0,La Mesa,California
Perry Warbington,188.0,74.0,Georgia Southern University,1952.0,Atlabta,Georgia
Stan Washington,193.0,86.0,University of San Diego,1952.0,Washington,District of Columbia
Scott Wedman,201.0,97.0,University of Colorado,1952.0,Harper,Kansas
Owen Wells,201.0,90.0,University of Detroit Mercy,1950.0,Providence,Rhode Island
Jamaal Wilkes*,198.0,86.0,"University of California, Los Angeles",1953.0,Berkeley,California
Earl Williams,201.0,104.0,Winston-Salem State University,1951.0,Levittown,Pennsylvania
Bobby Wilson,193.0,83.0,West Virginia State University,1926.0,,
Brian Winters,193.0,83.0,University of South Carolina,1952.0,Rockaway,New York
Alvan Adams,206.0,95.0,University of Oklahoma,1954.0,Lawrence,Kansas
Jerome Anderson,196.0,88.0,West Virginia University,1953.0,Mullens,West Virginia
Jerry Baskerville,201.0,86.0,Temple University,1951.0,Philadelphia,Pennsylvania
Bob Bigelow,201.0,97.0,University of Pennsylvania,1953.0,Boston,Massachusetts
Tom Boswell,206.0,99.0,University of South Carolina,1953.0,Montgomery,Alabama
Junior Bridgeman,196.0,95.0,University of Louisville,1953.0,East Chicago,Indiana
Joe Bryant,206.0,83.0,La Salle University,1954.0,Philadelphia,Pennsylvania
Al Carlson,211.0,106.0,University of Oregon,1951.0,Oceanside,California
Jim Creighton,203.0,90.0,University of Colorado,1950.0,Billings,Montana
Darryl Dawkins,211.0,113.0,,1957.0,Orlando,Florida
Henry Dickerson,193.0,86.0,University of Charleston,1951.0,Berkley,West Virginia
Eric Fernsten,208.0,92.0,University of San Francisco,1953.0,Oakland,California
Larry Fogle,196.0,92.0,Canisius College,1953.0,Brooklyn,New York
Don Ford,206.0,97.0,"University of California, Santa Barbara",1952.0,Santa Barbara,California
World B.,206.0,97.0,,1952.0,,
Donnie Freeman,190.0,83.0,University of Illinois at Urbana-Champaign,1944.0,Madison,Illinois
Kevin Grevey,196.0,95.0,University of Kentucky,1953.0,Hamilton,Ohio
Bob Gross,198.0,90.0,"California State University, Long Beach",1953.0,San Pedro,California
Lindsay Hairston,201.0,81.0,Michigan State University,1951.0,Detroit,Michigan
Glenn Hansen,193.0,92.0,Louisiana State University,1952.0,Devils Lake,North Dakota
Robert Hawkins,193.0,86.0,Illinois State University,1954.0,Detroit,Michigan
Wilbur Holland,183.0,79.0,University of New Orleans,1951.0,Columbus,Georgia
Lionel Hollins,190.0,83.0,Arizona State University,1953.0,Ark City,Kansas
Steve Jones,196.0,92.0,University of Oregon,1942.0,Alexandria,Louisiana
Rich Kelley,213.0,106.0,Stanford University,1953.0,San Mateo,California
Tom Kropp,190.0,92.0,University of Nebraska at Kearney,1953.0,Grand Island,Nebraska
C.J. Kupec,190.0,92.0,,1953.0,,
John Lambert,208.0,102.0,University of Southern California,1953.0,Berkeley,California
John Laskowski,198.0,83.0,Indiana University,1953.0,South Bend,Indiana
Greg Lee,190.0,86.0,"University of California, Los Angeles",1951.0,Reseda,California
Clyde Mayes,203.0,102.0,Furman University,1953.0,Greenville,South Carolina
Ken Mayfield,188.0,83.0,Tuskegee University,1948.0,Chicago,Illinois
Jim McElroy,190.0,86.0,Central Michigan University,1953.0,Cotton Plant,Arkansas
George McGinnis,203.0,106.0,Indiana University,1950.0,Indianapolis,Indiana
Tom McMillen,211.0,97.0,University of Maryland,1952.0,Elmira,New York
Joe Meriweather,208.0,97.0,Southern Illinois University,1953.0,Phenix City,Alabama
Dave Meyers,203.0,97.0,"University of California, Los Angeles",1953.0,San Diego,California
Frank Oleynick,188.0,83.0,Seattle University,1955.0,Bridgeport,Connecticut
Cliff Pondexter,206.0,105.0,"California State University, Long Beach",1954.0,Fresno,California
